TimeStamp,Water_elev,Water_temp
7/6/2021 17:30:00,489.72,53.6
7/6/2021 17:45:00,489.73,53.6
7/6/2021 18:00:00,489.7,53.6
7/6/2021 18:15:00,489.73,53.6
7/6/2021 18:30:00,489.73,53.6
7/6/2021 18:45:00,489.72,53.6
7/6/2021 19:00:00,489.71,53.78
7/6/2021 19:15:00,489.73,53.78
7/6/2021 19:30:00,489.7,53.78
7/6/2021 19:45:00,489.7,53.78
7/6/2021 20:00:00,489.72,53.78
7/6/2021 20:15:00,489.71,53.6
7/6/2021 20:30:00,489.71,53.6
7/6/2021 20:45:00,489.72,53.6
7/6/2021 21:00:00,489.71,53.6
7/6/2021 21:15:00,489.72,53.42
7/6/2021 21:30:00,489.71,53.42
7/6/2021 21:45:00,489.71,53.24
7/6/2021 22:00:00,489.71,53.24
7/6/2021 22:15:00,489.72,53.24
7/6/2021 22:30:00,489.71,53.24
7/6/2021 22:45:00,489.71,53.06
7/6/2021 23:00:00,489.7,53.06
7/6/2021 23:15:00,489.71,53.06
7/6/2021 23:30:00,489.71,52.88
7/6/2021 23:45:00,489.69,52.88
7/7/2021 0:00:00,489.71,52.88
7/7/2021 0:15:00,489.69,52.7
7/7/2021 0:30:00,489.7,52.7
7/7/2021 0:45:00,489.71,52.7
7/7/2021 1:00:00,489.71,52.52
7/7/2021 1:15:00,489.7,52.52
7/7/2021 1:30:00,489.68,52.52
7/7/2021 1:45:00,489.71,52.34
7/7/2021 2:00:00,489.71,52.34
7/7/2021 2:15:00,489.7,52.16
7/7/2021 2:30:00,489.71,52.16
7/7/2021 2:45:00,489.71,52.16
7/7/2021 3:00:00,489.69,52.16
7/7/2021 3:15:00,489.7,51.98
7/7/2021 3:30:00,489.71,51.98
7/7/2021 3:45:00,489.7,51.98
7/7/2021 4:00:00,489.7,51.98
7/7/2021 4:15:00,489.68,51.8
7/7/2021 4:30:00,489.71,51.8
7/7/2021 4:45:00,489.71,51.8
7/7/2021 5:00:00,489.71,51.8
7/7/2021 5:15:00,489.7,51.8
7/7/2021 5:30:00,489.7,51.8
7/7/2021 5:45:00,489.71,51.62
7/7/2021 6:00:00,489.69,51.62
7/7/2021 6:15:00,489.7,51.62
7/7/2021 6:30:00,489.7,51.62
7/7/2021 6:45:00,489.7,51.62
7/7/2021 7:00:00,489.71,51.62
7/7/2021 7:15:00,489.7,51.62
7/7/2021 7:30:00,489.71,51.62
7/7/2021 7:45:00,489.71,51.62
7/7/2021 8:00:00,489.7,51.62
7/7/2021 8:15:00,489.7,51.62
7/7/2021 8:30:00,489.72,51.62
7/7/2021 8:45:00,489.71,51.62
7/7/2021 9:00:00,489.71,51.62
7/7/2021 9:15:00,489.7,51.62
7/7/2021 9:30:00,489.71,51.62
7/7/2021 9:45:00,489.7,51.62
7/7/2021 10:00:00,489.71,51.62
7/7/2021 10:15:00,489.71,51.8
7/7/2021 10:30:00,489.71,51.8
